1234;;;Ce n'est pas réalisable
1235;;;Rien à manipuler
1240;;;Une vieille tondeuse à gazon
1246;;;En abaissant la manette, les lasers sont coupés. Enlevez le Token 03.
1248;;;En abaissant la manette, les lasers sont coupés. Enlevez le Token 03.
1249;;;La présence du détecteur empêche d'atteindre la porte 17
1250;;;La porte est verrouillée par une simple serrure.
1252;;;En dévissant le manche, il y a la clé USB cachée. Prenez l'objet 31. Jetez le 15.
1259;;;En dévissant le manche, il y a la clé USB cachée. Prenez l'objet 31. Jetez le 15.
1264;M;Soigner;Le bandage soigne Stacy qui perd son statut Blessé et peut à nouveau faire des actions spécifiques
1265;;;Pas réalisable
1267;;;Des armes de lancer pour les ninja !
1275;;;ridicule
1290;;;Une porte est verrouillée par un digicode. Un tableau est au dessus, prenez l'énigme 6
1326;;;Un garde surveille l'entrée de la maison. L'accès à la porte est impossible tant qu'il est là.
1328;;;Un rossignol, un passe-partout pour ouvrir des portes fermées à clef
1342;;;Ce n'est pas possible.
1360;;;Elle pourrait le faire mais il faudrait quelqu'un de plus habitué à ce genre d'exercice.
1362;;;"Le pontage fonctionne; la porte 31 s'ouvre.Enlevez la porte 31."
1423;;;Des bandages, pour soigner une personne blessée
1426;;;Un rossignol, un passe-partout pour ouvrir des portes fermées à clef
1427;;;Des bandages, pour soigner une personne blessée
1428;;;C'est un balai
1523;;;Une porte est verrouillée par un digicode. Un tableau est au dessus, prenez l'énigme 9
1526;;;rien à faire de particulier
1527;;;Une bouche d'aération avec une grille mal fixée
1528;;;Aucun intérêt
1632;;;Un cable est récurérable. Jetez l'objet 6 et prenez l'objet 5
1635;;;Une belle plante verte
1637;;;Aucun intérêt
1638;;;Une bouche d'aération avec une grille mal fixée
1639;;;Une bouche d'aération avec une grille mal fixée
1723;;;Aucun intérêt
1725;;;Un conduit étroit
1726;;;De l'engrais.
1729;;;Une vieille tondeuse à gazon
1735;;;C'est un tableau électrique.
1740;;;Des armes de lancer pour les ninja !
1746;;;Le système est bloqué. Il manque quelque chose pour dériver la sécurité.
1750;;;La porte est verrouillée par un code, un tableau au dessus. Prenez l'enigme 10
2134;;;La porte n'est pas forçable
2135;;;rien à faire de particulier
2136;;;Ce n'est pas réalisable
2137;;;Une porte est verrouillée par un digicode. Un tableau est au dessus, prenez l'énigme 8
2139;;;Une porte est verrouillée par un digicode. Un tableau est au dessus, prenez l'énigme 9
2312;;;De l'essence ordinaire
2315;;;rien à faire de particulier
2316;;;De l'engrais.
2341;;;Avec quoi ?
2412;;;A bien la manipuler, c'est vraiment une belle plante verte
2531;;;Un conduit étroit
2532;;;Rien à manipuler
2534;;;On ne manipule pas un garde comme ça...
2536;;;Rien à manipuler
2537;;;c'est possible mais trop haut
2538;;;De l'essence ordinaire
2619;;;Une porte est verrouillée par un digicode. Un tableau est au dessus, prenez l'énigme 9
2637;;;Une porte est verrouillée par un digicode. Un tableau est au dessus, prenez l'énigme 8
2639;;;Une porte est verrouillée par un digicode. Un tableau est au dessus, prenez l'énigme 8
2643;J;Déverrouiller;Enlever la porte 33 et mettre la porte 19. Lisez le chapitre 2.2.
2815;;;Avec quoi ?
2912;;;La grille s'enlève facilement. Jetez l'objet 2 et prenez l'objet 23
2913;;;Une bouche d'aération avec une grille mal fixée
2914;;;rien à faire de particulier
2916;;;La porte est verrouillée par un code, un tableau au dessus. Prenez l'enigme 10
2918;;;Il faut trouver le code de l'énigme 10.
3128;;;La grille s'enlève facilement. Jetez l'objet 2 et prenez l'objet 20
3129;;;C'est un objet avec un manche en bois vissé et une spatule métallique
3213;;;Un cable est récurérable. Jetez l'objet 6 et prenez l'objet 5
3217;;;A bien la manipuler, c'est vraiment une belle plante verte
3219;;;La grille s'enlève facilement. Jetez l'objet 2 et prenez l'objet 22
3420;;;On ne manipule pas un garde comme ça...
3421;;;Il n'est pas si manipulable que ça, si vous ne l'avez pas remarqué
3425;;;Le système est bloqué. Il manque quelque chose pour dériver la sécurité.
3426;;;Ce système est trop éloigné pour être manipulé.
3514;;;Une porte est verrouillée par un digicode. Un tableau est au dessus, prenez l'énigme 7
3516;;;Rien à manipuler
3519;;;Un rossignol, un passe-partout pour ouvrir des portes fermées à clef
3621;;;Aucun intérêt
3624;;;De l'essence ordinaire
3629;;;A bien la manipuler, c'est vraiment une belle plante verte
3641;;;Un cable est récurérable. Jetez l'objet 6 et prenez l'objet 5
3642;;;De l'engrais.
3645;;;De l'engrais.
3647;;;La grille s'enlève facilement. Jetez l'objet 2 et prenez l'objet 21
3648;;;C'est un balai
3649;;;C'est un balai
3712;;;De l'essence ordinaire
3714;;;De l'engrais.
3715;;;Une porte est verrouillée par un digicode. Un tableau est au dessus, prenez l'énigme 6
3716;;;La porte est verrouillée par un code, un tableau au dessus. Prenez l'enigme 10
4130;;;Un cable est récurérable. Jetez l'objet 6 et prenez l'objet 5
4135;;;Des bandages, pour soigner une personne blessée
4138;;;Une porte est verrouillée par un digicode. Un tableau est au dessus, prenez l'énigme 6
4139;;;Un cable est récurérable. Jetez l'objet 6 et prenez l'objet 5
4157;;;La grille s'enlève facilement. Jetez l'objet 2 et prenez l'objet 19
4158;;;Une belle plante verte
4159;;;De l'essence ordinaire
4160;;;Une belle plante verte
4163;;;Une belle plante verte
4167;;;C'est un objet avec un manche en bois vissé et une spatule métallique
4168;;;En dévissant le manche, il y a la clé USB cachée. Prenez l'objet 31. Jetez le 15.
4172;;;A bien la manipuler, c'est vraiment une belle plante verte
4176;;;Une porte est verrouillée par un digicode. Un tableau est au dessus, prenez l'énigme 6
4180;;;C'est un balai
4182;;;Un conduit étroit
4187;;;Avec quoi ?
4189;;;Une porte est verrouillée par un digicode. Un tableau est au dessus, prenez l'énigme 8
4190;;;Aucun intérêt
4203;;;Un garde surveille l'entrée de la maison.
4209;;;Rien à manipuler
4213;;;En dévissant le manche, il y a la clé USB cachée. Prenez l'objet 31. Jetez le 15.
4217;;;C'est un objet avec un manche en bois vissé et une spatule métallique
4218;;;C'est un objet avec un manche en bois vissé et une spatule métallique
4219;;;Une belle plante verte
4230;;;Ce n'est pas réalisable
4236;;;Une porte est verrouillée par un digicode. Un tableau est au dessus, prenez l'énigme 9
4239;;;La porte est verrouillée par une simple serrure.
4251;;;A bien la manipuler, c'est vraiment une belle plante verte
4253;;;C'est un objet avec un manche en bois vissé et une spatule métallique
4256;;;C'est un balai
4258;;;Une vieille tondeuse à gazon
4259;;;Une bouche d'aération avec une grille mal fixée
4261;;;Des bandages, pour soigner une personne blessée
4263;;;Un conduit étroit
4265;;;rien à faire de particulier
4268;;;Avec quoi ?
4305;;;Un conduit étroit
4306;;;Il faut trouver le code de l'énigme 10.
4312;;;Des bandages, pour soigner une personne blessée
4319;;;Ce n'est pas réalisable
4321;;;Un rossignol, un passe-partout pour ouvrir des portes fermées à clef
4325;;;Une vieille tondeuse à gazon
4328;;;Un rossignol, un passe-partout pour ouvrir des portes fermées à clef
4503;;;Une vieille tondeuse à gazon
4506;;;Avec quoi ?
4507;;;En dévissant le manche, il y a la clé USB cachée. Prenez l'objet 31. Jetez le 15.
4516;;;Un détecteur de présence avec alarme. Impossible de passer
4518;;;Une porte est verrouillée par un digicode. Un tableau est au dessus, prenez l'énigme 9
4521;;;On ne peut rien faire sur ces faisceaux lasers
4523;;;La fumée de combustion de l'essence permet de voir les faisceaux lasers mais reste infranchissable pour la plus part des gens.
4528;;;Une pochette d'allumettes ou il est inscrit sur le rabat 'perdu les losers !'
4529;;;C'est un tableau électrique.
4530;;;Un détecteur de présence avec alarme. Impossible de passer
4532;;;On ne manipule pas un garde comme ça...
4560;;;Il n'est pas si manipulable que ça, si vous ne l'avez pas remarqué
4562;;;Le système est bloqué. Il manque quelque chose pour dériver la sécurité.
4572;;;Il n'est pas si manipulable que ça, si vous ne l'avez pas remarqué
4573;;;Une porte est verrouillée par un digicode. Un tableau est au dessus, prenez l'énigme 7
4576;;;Le système est bloqué. Il manque quelque chose pour dériver la sécurité.
4580;;;Il n'est pas si manipulable que ça, si vous ne l'avez pas remarqué
4581;;;Ce système est trop éloigné pour être manipulé.
4583;;;Une pochette d'allumettes ou il est inscrit sur le rabat 'perdu les losers !'
4586;;;C'est un tableau électrique.
4587;;;Un détecteur de présence avec alarme. Impossible de passer
4593;;;Une pochette d'allumettes ou il est inscrit sur le rabat 'perdu les losers !'
4596;;;Il n'est pas si manipulable que ça, si vous ne l'avez pas remarqué
4597;;;On ne peut rien faire sur ces faisceaux lasers
4598;;;Le système est bloqué. Il manque quelque chose pour dériver la sécurité.
4601;;;Des armes de lancer pour les ninja !
4605;;;Ce système est trop éloigné pour être manipulé.
4613;;;On ne manipule pas un garde comme ça...
4617;;;Un détecteur de présence avec alarme. Impossible de passer
4619;;;On ne peut rien faire sur ces faisceaux lasers
4620;;;Ce système est trop éloigné pour être manipulé.
4625;;;La fumée de combustion de l'essence permet de voir les faisceaux lasers mais reste infranchissable pour la plus part des gens.
4629;;;Une pochette d'allumettes ou il est inscrit sur le rabat 'perdu les losers !'
4630;;;Une porte est verrouillée par un digicode. Un tableau est au dessus, prenez l'énigme 9
4632;;;La fumée de combustion de l'essence permet de voir les faisceaux lasers mais reste infranchissable pour la plus part des gens.
4635;;;Une porte est verrouillée par un digicode. Un tableau est au dessus, prenez l'énigme 9
4637;;;Une porte est verrouillée par un digicode. Un tableau est au dessus, prenez l'énigme 7
4639;;;La porte est verrouillée par un code, un tableau au dessus. Prenez l'enigme 10
4650;;;On ne peut rien faire sur ces faisceaux lasers
4651;;;Une porte est verrouillée par un digicode. Un tableau est au dessus, prenez l'énigme 9
4652;;;Une porte est verrouillée par un digicode. Un tableau est au dessus, prenez l'énigme 7
4658;;;Une porte est verrouillée par un digicode. Un tableau est au dessus, prenez l'énigme 7
4659;;;Il faut trouver le code de l'énigme 10.
5014;;;Aucun intérêt
5024;;;Aucun intérêt
5047;;;Aucun intérêt
5096;;;Aucun intérêt
5126;;;Aucun intérêt
5128;;;Aucun intérêt
5134;J;Déverrouiller;Enlever la porte 33 et mettre la porte 19. Lisez le chapitre 2.2.
5163;;;Aucun intérêt
